#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 06 10 51 999 99.0 99.0  2.71  9.88  6.63  73 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 06 11 21 999 99.0 99.0  2.85 10.53  6.75  64 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 06 11 51 999 99.0 99.0  2.85 11.76  6.77  77 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 12 51 999 99.0 99.0  2.87 10.53  6.82  66 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 13 21 999 99.0 99.0  2.88  9.88  6.53  83 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 14 21 999 99.0 99.0  2.64 10.53  6.51  73 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 14 51 999 99.0 99.0  2.72  9.88  6.66  84 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 15 21 999 99.0 99.0  2.69  9.88  6.56  78 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 15 51 999 99.0 99.0  3.00  9.88  6.85  80 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 16 51 999 99.0 99.0  2.65  9.88  6.83  73 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 06 17 21 999 99.0 99.0  2.94 10.53  7.14  77 9999.0 999.0  27.6 999.0 99.0 99.00
